Date,Audience by watch behaviour,Views
2023-06-05,Casual viewers,0
2023-06-06,Casual viewers,0
2023-06-07,Casual viewers,0
2023-06-08,Casual viewers,0
2023-06-09,Casual viewers,0
2023-06-10,Casual viewers,0
2023-06-11,Casual viewers,0
2023-06-12,Casual viewers,0
2023-06-13,Casual viewers,0
2023-06-14,Casual viewers,0
2023-06-15,Casual viewers,0
2023-06-16,Casual viewers,0
2023-06-17,Casual viewers,0
2023-06-18,Casual viewers,0
2023-06-19,Casual viewers,0
2023-06-20,Casual viewers,0
2023-06-21,Casual viewers,0
2023-06-22,Casual viewers,0
2023-06-23,Casual viewers,0
2023-06-24,Casual viewers,0
2023-06-25,Casual viewers,0
2023-06-26,Casual viewers,0
2023-06-27,Casual viewers,0
2023-06-28,Casual viewers,0
2023-06-29,Casual viewers,0
2023-06-30,Casual viewers,0
2023-07-01,Casual viewers,0
2023-07-02,Casual viewers,0
2023-07-03,Casual viewers,0
2023-07-04,Casual viewers,0
2023-07-05,Casual viewers,0
2023-07-06,Casual viewers,0
2023-07-07,Casual viewers,0
2023-07-08,Casual viewers,0
2023-07-09,Casual viewers,0
2023-07-10,Casual viewers,0
2023-07-11,Casual viewers,0
2023-07-12,Casual viewers,0
2023-07-13,Casual viewers,0
2023-07-14,Casual viewers,0
2023-07-15,Casual viewers,0
2023-07-16,Casual viewers,0
2023-07-17,Casual viewers,0
2023-07-18,Casual viewers,0
2023-07-19,Casual viewers,0
2023-07-20,Casual viewers,0
2023-07-21,Casual viewers,0
2023-07-22,Casual viewers,0
2023-07-23,Casual viewers,0
2023-07-24,Casual viewers,0
2023-07-25,Casual viewers,0
2023-07-26,Casual viewers,0
2023-07-27,Casual viewers,0
2023-07-28,Casual viewers,0
2023-07-29,Casual viewers,0
2023-07-30,Casual viewers,0
2023-07-31,Casual viewers,0
2023-08-01,Casual viewers,0
2023-08-02,Casual viewers,0
2023-08-03,Casual viewers,0
2023-08-04,Casual viewers,0
2023-08-05,Casual viewers,0
2023-08-06,Casual viewers,0
2023-08-07,Casual viewers,0
2023-08-08,Casual viewers,0
2023-08-09,Casual viewers,0
2023-08-10,Casual viewers,0
2023-08-11,Casual viewers,0
2023-08-12,Casual viewers,0
2023-08-13,Casual viewers,0
2023-08-14,Casual viewers,0
2023-08-15,Casual viewers,0
2023-08-16,Casual viewers,0
2023-08-17,Casual viewers,0
2023-08-18,Casual viewers,0
2023-08-19,Casual viewers,0
2023-08-20,Casual viewers,0
2023-08-21,Casual viewers,0
2023-08-22,Casual viewers,0
2023-08-23,Casual viewers,0
2023-08-24,Casual viewers,0
2023-08-25,Casual viewers,0
2023-08-26,Casual viewers,0
2023-08-27,Casual viewers,0
2023-08-28,Casual viewers,0
2023-08-29,Casual viewers,0
2023-08-30,Casual viewers,0
2023-08-31,Casual viewers,0
2023-09-01,Casual viewers,0
2023-09-02,Casual viewers,0
2023-09-03,Casual viewers,0
2023-09-04,Casual viewers,0
2023-09-05,Casual viewers,0
2023-09-06,Casual viewers,0
2023-09-07,Casual viewers,0
2023-09-08,Casual viewers,0
2023-09-09,Casual viewers,0
2023-09-10,Casual viewers,0
2023-09-11,Casual viewers,0
2023-09-12,Casual viewers,0
2023-09-13,Casual viewers,0
2023-09-14,Casual viewers,0
2023-09-15,Casual viewers,0
2023-09-16,Casual viewers,0
2023-09-17,Casual viewers,0
2023-09-18,Casual viewers,0
2023-09-19,Casual viewers,0
2023-09-20,Casual viewers,0
2023-09-21,Casual viewers,0
2023-09-22,Casual viewers,0
2023-09-23,Casual viewers,0
2023-09-24,Casual viewers,0
2023-09-25,Casual viewers,0
2023-09-26,Casual viewers,0
2023-09-27,Casual viewers,0
2023-09-28,Casual viewers,0
2023-09-29,Casual viewers,0
2023-09-30,Casual viewers,0
2023-10-01,Casual viewers,0
2023-10-02,Casual viewers,0
2023-10-03,Casual viewers,0
2023-10-04,Casual viewers,0
2023-10-05,Casual viewers,0
2023-10-06,Casual viewers,0
2023-10-07,Casual viewers,0
2023-10-08,Casual viewers,0
2023-10-09,Casual viewers,0
2023-10-10,Casual viewers,0
2023-10-11,Casual viewers,0
2023-10-12,Casual viewers,0
2023-10-13,Casual viewers,0
2023-10-14,Casual viewers,0
2023-10-15,Casual viewers,0
2023-10-16,Casual viewers,0
2023-10-17,Casual viewers,0
2023-10-18,Casual viewers,0
2023-10-19,Casual viewers,0
2023-10-20,Casual viewers,0
2023-10-21,Casual viewers,0
2023-10-22,Casual viewers,0
2023-10-23,Casual viewers,0
2023-10-24,Casual viewers,0
2023-10-25,Casual viewers,0
2023-10-26,Casual viewers,0
